  ORIGINAL		  PREDICTED		  ERROR
-35.2867052158		-27.0497874425		-8.23691777332
-40.2435901784		-35.2499287108		-4.99366146757
-38.219624719		-39.6816630942		1.46203837523
-16.786516432		-38.1621847282		21.3756682962
11.0561215311		-16.7812665773		27.8373881084
36.3285917722		11.0543009229		25.2742908492
52.3846923869		36.3179760643		16.0667163226
63.6413427285		52.3719560842		11.2693866443
61.7663811875		63.4608342969		-1.69445310943
51.3050206273		61.6692281389		-10.3642075116
29.520522756		51.2841009228		-21.7635781668
1.66406627839		29.5156191222		-27.8515528438
-22.6615160564		1.66665573028		-24.3281717867
-32.7386303728		-22.6387407087		-10.0998896641
-43.7101715603		-32.7426655703		-10.96750599
-36.396112282		-43.4172071979		7.02109491593
-20.8682153977		-36.3659278885		15.4977124908
3.12474585029		-20.8575392093		23.9822850596
25.3329162297		3.12307438978		22.2098418399
42.2158516512		25.3259893978		16.8898622534
55.5541370095		42.2081249809		13.3460120286
55.7851236694		55.4455394928		0.339584176591
44.2597521155		55.6497081066		-11.3899559912
27.0582877782		44.246172466		-17.1878846878
2.73461462426		27.0501071878		-24.3154925635
-12.4167315554		2.74617890022		-15.1629104556
-22.8222659365		-12.4023647118		-10.4199012247
-25.9551052506		-22.749871371		-3.20523387959
-18.83527871		-25.5525277775		6.71724906746
-9.408143187		-18.8185333861		9.41039019908
4.70301996604		-9.39145519019		14.0944751562
24.2511704065		4.71253514456		19.5386352619
30.380694764		24.2138634297		6.1668313343
36.5131523339		30.3807337809		6.13241855299
34.7507643038		36.1171597416		-1.36639543777
24.859982593		34.6477558668		-9.78777327379
15.3338447155		24.8619167297		-9.5280720142
1.48786237803		15.3182066002		-13.8303442222
-10.0216315114		1.49511045102		-11.5167419624
-11.4541085382		-9.92153368361		-1.53257485462
-14.8594883752		-11.6138428309		-3.24564554438
3.67493872517		-14.7467857539		18.421724479
10.5413288637		3.64114685759		6.90018200615
26.4800272036		10.5744692524		15.9055579512
38.9255219114		26.4713991324		12.4541227791
39.36704726		38.8133913713		0.553655888732
30.8516124053		39.1721833011		-8.32057089575
21.0075810696		30.8437429341		-9.83616186455
2.96901040991		20.9870901873		-18.0180797774
-13.7215066821		2.97124466282		-16.692751345
-27.5455081365		-13.7153677102		-13.8301404263
-26.7455640626		-27.4241035974		0.678539534774
-23.6818103936		-26.4734133094		2.79160291575
-10.448173828		-23.6140293474		13.1658555195
15.3341325593		-10.4322363125		25.7663688718
38.1535077012		15.3316269619		22.8218807393
52.8085193866		38.1420613847		14.6664580019
57.8526223284		52.7626269473		5.08999538114
55.7587791195		57.2968689122		-1.53808979272
41.3982696731		55.682328132		-14.2840584589
13.8827904215		41.3837440899		-27.5009536684
-10.6047282674		13.8850272512		-24.4897555187
-28.5444049009		-10.5975104627		-17.9468944383
-37.3840058861		-28.5199664256		-8.86403946051
-37.6495063621		-37.2243510119		-0.425155350275
-35.2147661904		-36.8927160689		1.67794987856
-16.7672962957		-35.1533601369		18.3860638412
12.9563069357		-16.7577517202		29.7140586559
37.1007781099		12.952475305		24.1483028048
57.8967999991		37.0974683603		20.7993316388
67.4266056196		57.8733766605		9.55322895913
58.4165776993		67.1037394388		-8.68716173948
